date,AAPL,MSFT,GOOG,AMZN,META,NFLX
2018-01-02,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-03,0.9998258772381478,1.0046541305954337,1.0164131827534097,1.0127753103834864,1.0179141564233354,1.0197940420185851
2018-01-04,1.0044700666583237,1.0134966782038386,1.0200937764008102,1.0173085057343818,1.016040075200818,1.0226786376103114
2018-01-05,1.0159064648143654,1.026061929242751,1.0349576539133363,1.0337507712746026,1.0299305738092568,1.044362668861346
2018-01-08,1.012133268143085,1.027108912317397,1.0393801622730658,1.0486622941428303,1.0378126940324834,1.0546078258113678
2018-01-09,1.0120168389405189,1.0264105358294573,1.0387417369303116,1.0535655344714832,1.0355525629384317,1.0409807226600165
2018-01-10,1.0117845489448378,1.0217570838341645,1.0353145187924988,1.0549364397861682,1.0353873675318652,1.0569453641905096
2018-01-11,1.0175322105794071,1.024781895491119,1.038046869410436,1.0737335953357008,1.035001487352582,1.0804197817481718
2018-01-12,1.0280390698130908,1.0424667968221737,1.0537652569130826,1.09771997880984,0.9887000232987461,1.1002635303697383
2018-01-16,1.0228143448735294,1.0279233294294436,1.053295652217903,1.0974339270479458,0.9832982947116597,1.1017555821985476
2018-01-17,1.0397076632299052,1.0487494708130687,1.0628919786343596,1.0891413775862724,0.9789439066991277,1.0817128174451964
2018-01-18,1.0406366337428123,1.0482841450021148,1.0608356332978492,1.0877284435806853,0.9910702846638422,1.0957875646031692
2018-01-19,1.0359920653830024,1.0471206365889756,1.0680844421221969,1.0887880799189353,0.9992833047769557,1.0964340350217168
2018-01-22,1.027516890997351,1.0658524240517993,1.0852675800037146,1.1163152683111628,1.02177253398554,1.1318445826300656
2018-01-23,1.0277489915232152,1.0692263270098463,1.0985633623060207,1.1459449179035293,1.043710517916023,1.2447903163948597
2018-01-24,1.0113781361873047,1.0682956753879387,1.0931831436630468,1.1417145857908888,1.0282767531288282,1.2995473568751015
2018-01-25,0.9933239362619746,1.0742293550206183,1.0989389448854066,1.1589052828588646,1.0334029863460523,1.3413238594824688
2018-01-26,0.9956461730744254,1.0943575076878125,1.1040750384652354,1.1791742767471871,1.047293484954491,1.3656934701934451
2018-01-29,0.9750380147504147,1.0927281887493332,1.1038309134020903,1.1923196962743714,1.0251349010974167,1.4153776862316219
2018-01-30,0.969291016260205,1.0789998170687907,1.0926667085827522,1.2092580928650554,1.031418690006365,1.3865817214971288
2018-01-31,0.9719612143916346,1.105410352898248,1.0985351773520164,1.2202504884311376,1.0301509191974711,1.3443079631400876
2018-02-01,0.9739928045047586,1.0966843306283363,1.0964319293612783,1.1690397798030259,1.0643258355943412,1.3182970859314282
2018-02-02,0.9317312776110812,1.0678302526341077,1.044037617518611,1.202639119458501,1.0488367511332473,1.3300342947102595
2018-02-05,0.9084527316858239,1.0238513408120886,0.9913616729432391,1.1690397798030259,0.9991179396781379,1.2645347466703927
2018-02-06,0.9464184094179383,1.0625948525464906,1.0146477928651596,1.2134800834054558,1.02144188863403,1.3215298174638836
2018-02-07,0.9261584018827237,1.042583128274912,0.9845821074685069,1.1915626665106152,0.993164880966825,1.3157606262804311
2018-02-08,0.900673385203222,0.989063777070935,0.9403943147334317,1.1358188908634888,0.9457610960490384,1.2438454166385644
2018-02-09,0.9116898235098128,1.0259452100185036,0.9744413055559771,1.1266516313035337,0.9707308865860143,1.2407121931720013
2018-02-12,0.9484117266280218,1.0369982491146934,0.9877370155891704,1.1658690840286354,0.972384452728066,1.2828865383230794
2018-02-13,0.9579124063983578,1.0451426141209128,0.9878873353438601,1.189653601454565,0.9544151463230829,1.2844780033578518
2018-02-14,0.9755741195977063,1.061507832063527,1.0044131856441743,1.2203849802420237,0.989527018485086,1.3229223612268006
2018-02-15,1.0083323141436091,1.0831329766417106,1.0230234939658904,1.2293924666106113,0.9919523449857043,1.393892671112372
2018-02-16,1.0050679386659676,1.0754179716389736,1.027981155106138,1.2184001993764098,0.9776209010624601,1.3851891777342118
2018-02-20,1.0016875129253942,1.0838346491874782,1.0351737385607027,1.234934992202555,0.9701795564617876,1.3853383924030855
